IDs,Product Date,Opportunity Owner,Agency Holding Company,Account Name,Opportunity Name,LineItemID,Segment Name,Endpoint
10024797,2018-05-01,Alex Walsh,Interpublic,UM NY,Coach_Mother's Day_UM NY_Q2_2018_Segments,00k0Z00000fxJMCQA2,ShareThis > Interest from Social Activity > Coach > Seasonal > Mother's Day,TTD
12303371,2018-05-01,Andi Wilson,,Appnexus,ANX_PageScience_Pharma_Q2_2018,00k0Z00000fxJOqQAM,ShareThis > Interest from Social Activity > Page Science > Custom > Blood Thinners,Appnexus
12303374,2018-05-01,Andi Wilson,,Appnexus,ANX_PageScience_Pharma_Q2_2018,00k0Z00000fxJOgQAM,ShareThis > Interest from Social Activity > Page Science > Custom > Diabetes,Appnexus
12303363,2018-05-01,Andi Wilson,,Appnexus,ANX_PageScience_Pharma_Q2_2018,00k0Z00000fxJP5QAM,ShareThis > Interest from Social Activity > Page Science > Custom > Sleep Disorder,Appnexus
12303372,2018-05-01,Andi Wilson,,Appnexus,ANX_PageScience_Pharma_Q2_2018,00k0Z00000fxJOlQAM,ShareThis > Interest from Social Activity > Page Science > Custom > Prescription Weight Loss,Appnexus
12303368,2018-05-01,Andi Wilson,,Appnexus,ANX_PageScience_Pharma_Q2_2018,00k0Z00000fxJOvQAM,ShareThis > Interest from Social Activity > Page Science > Custom > Plaque Psoriasis,Appnexus
12303357,2018-05-01,Andi Wilson,,Appnexus,ANX_PageScience_Pharma_Q2_2018,00k0Z00000fxJPFQA2,ShareThis > Interest from Social Activity > Page Science > Custom > Eczema,Appnexus
12303365,2018-05-01,Andi Wilson,,Appnexus,ANX_PageScience_Pharma_Q2_2018,00k0Z00000fxJP0QAM,ShareThis > Interest from Social Activity > Page Science > Custom > Crohn's Disease,Appnexus
12303360,2018-05-01,Andi Wilson,,Appnexus,ANX_PageScience_Pharma_Q2_2018,00k0Z00000fxJPAQA2,ShareThis > Interest from Social Activity > Page Science > Custom > Deep Vein Thrombosis,Appnexus
12303366,2018-05-01,Andi Wilson,,Appnexus,ANX_PageScience_Pharma_Q2_2018,00k0Z00000fxJObQAM,ShareThis > Interest from Social Activity > Page Science > Custom > COPD,Appnexus
1003167609,2018-05-09,Andi Wilson,,TubeMogul,Tube_Belk_MothersDay_Q2_2018,00k0Z00000fxJkSQAU,ShareThis > Interest from Social Activity > Belk > Custom > Belk Department Stores,LiveRamp
1003167619,2018-05-09,Andi Wilson,,TubeMogul,Tube_Belk_MothersDay_Q2_2018,00k0Z00000fxJkNQAU,ShareThis > Interest from Social Activity > Belk > Seasonal > Mother's Day,LiveRamp
1003146099,2018-05-01,Kelly Elbert,Interpublic,Johnsonville,Johnsonville_FlameGrilledSausage_McCann_2018_Q3_Segments,00k0Z00000fxJTIQA2,ShareThis > Interest from Social Activity > Johnsonville > Vertical > Cooking & Recipes,LiveRamp
1003146109,2018-05-01,Kelly Elbert,Interpublic,Johnsonville,Johnsonville_FlameGrilledSausage_McCann_2018_Q3_Segments,00k0Z00000fxJTNQA2,ShareThis > Interest from Social Activity > Johnsonville > Vertical > BBQ & Grilling,LiveRamp
1003146129,2018-05-01,Kelly Elbert,Interpublic,Johnsonville,Johnsonville_FlameGrilledSausage_McCann_2018_Q3_Segments,00k0Z00000fxJT8QAM,ShareThis > Interest from Social Activity > Johnsonville > Custom > Busy Family,LiveRamp
1003146119,2018-05-01,Kelly Elbert,Interpublic,Johnsonville,Johnsonville_FlameGrilledSausage_McCann_2018_Q3_Segments,00k0Z00000fxJTDQA2,ShareThis > Interest from Social Activity > Johnsonville > Custom > Easy Recipes,LiveRamp
1003146089,2018-04-27,Alex Walsh,WPP Group,Nestle USA,Nestle_Gerber Snacks_Metavision_2018_Q1-Q4_Segments,00k0Z00000fxJSjQAM,ShareThis > Interest from Social Activity > Nestle > Custom > Gerber Snacks,LiveRamp
1003159249,2018-05-01,Alex Walsh,Interpublic,Amtrak,Amtrak_Q2 Southeast_Initiative_Q2_2018_Segments,00k0Z00000fxJV6QAM,ShareThis > Interest from Social Activity > Amtrak > Seasonal > Summer Travelers,LiveRamp
1003159239,2018-05-01,Alex Walsh,Interpublic,Amtrak,Amtrak_Q2 Southeast_Initiative_Q2_2018_Segments,00k0Z00000fxJUwQAM,ShareThis > Interest from Social Activity > Amtrak > Custom > Florida Destination,LiveRamp
1003159229,2018-05-01,Alex Walsh,Interpublic,Amtrak,Amtrak_Q2 Southeast_Initiative_Q2_2018_Segments,00k0Z00000fxJV1QAM,ShareThis > Interest from Social Activity > Amtrak > Custom > Family Vacation,LiveRamp
10027170,2018-06-25,Heather Goeld,Publicis,Bank of America,Bank of America_Mortgage_GroupeConnect_2018_Q2-Q3_Segments,00k0Z00000fxKueQAE,ShareThis > Interest from Social Activity > Bank of America > Custom > BOA Mortgages,TTD
10027182,2018-06-25,Kristin Reed,,Bank of America,BOA_BetterMoneyHabits_Q2Q3_2018,00k0Z00000fxL7DQAU,ShareThis > Interest from Social Activity > BOFA > Custom > BMH Spending,TTD
10027184,2018-06-25,Kristin Reed,,Bank of America,BOA_BetterMoneyHabits_Q2Q3_2018,00k0Z00000fxL7XQAU,ShareThis > Interest from Social Activity > BOFA > Custom > BMH Wedding Savings,TTD
10027212,2018-06-25,Kristin Reed,,Bank of America,BOA_BetterMoneyHabits_Q2Q3_2018,00k0Z00000fxL7hQAE,ShareThis > Interest from Social Activity > BOFA > Custom > BMH Moving,TTD
10027213,2018-06-25,Kristin Reed,,Bank of America,BOA_BetterMoneyHabits_Q2Q3_2018,00k0Z00000fxL7mQAE,ShareThis > Interest from Social Activity > BOFA > Custom > BMH New Parents,TTD
10027183,2018-06-25,Kristin Reed,,Bank of America,BOA_BetterMoneyHabits_Q2Q3_2018,00k0Z00000fxL7SQAU,ShareThis > Interest from Social Activity > BOFA > Custom > BMH New Job,TTD
1003161499,2018-05-01,Kristin Reed,,Sanofi Aventis,Sanofi CHC_Nasacort & Xyzal_KWG_Q2_2018_Segments,00k0Z00000fxJb4QAE,ShareThis > Interest from Social Activity > Sanofi > Custom > Allergy Triggers,LiveRamp
1003161489,2018-05-01,Kristin Reed,,Sanofi Aventis,Sanofi CHC_Nasacort & Xyzal_KWG_Q2_2018_Segments,00k0Z00000fxJb9QAE,ShareThis > Interest from Social Activity > Sanofi > Vertical > Allergies,LiveRamp
10025718,2018-05-02,Katie Kidd,,Eyeota,Mattel_Mothers_Eyeota_2018_Q2_Segments,00k0Z00000fxJduQAE,ShareThis > Interest from Social Activity > Mattel > Custom > Baby & Newborn,Eyeota
10025719,2018-05-02,Katie Kidd,,Eyeota,Mattel_Mothers_Eyeota_2018_Q2_Segments,00k0Z00000fxJeJQAU,ShareThis > Interest from Social Activity > Mattel > Custom > Infant 6-18,Eyeota
10025723,2018-05-02,Katie Kidd,,Eyeota,Mattel_Mothers_Eyeota_2018_Q2_Segments,00k0Z00000fxJe9QAE,ShareThis > Interest from Social Activity > Mattel > Custom > Pre-school Learning,Eyeota
10025721,2018-05-02,Katie Kidd,,Eyeota,Mattel_Mothers_Eyeota_2018_Q2_Segments,00k0Z00000fxJeEQAU,ShareThis > Interest from Social Activity > Mattel > Custom > Infant 18-36,Eyeota
10025722,2018-05-02,Katie Kidd,,Eyeota,Mattel_Mothers_Eyeota_2018_Q2_Segments,00k0Z00000fxJdzQAE,ShareThis > Interest from Social Activity > Mattel > Custom > Little People,Eyeota
10025720,2018-05-02,Katie Kidd,,Eyeota,Mattel_Mothers_Eyeota_2018_Q2_Segments,00k0Z00000fxJe4QAE,ShareThis > Interest from Social Activity > Mattel > Custom > Infant 12-30,Eyeota
1003161539,2018-05-02,Alex Walsh,Interpublic,UM NY,Estee Lauder_In Market Foundation_UM_Q2_2018_Segments,00k0Z00000fxJeTQAU,ShareThis > Interest from Social Activity > Estee Lauder > Custom > Estee,LiveRamp
1003161529,2018-05-02,Alex Walsh,Interpublic,UM NY,Estee Lauder_In Market Foundation_UM_Q2_2018_Segments,00k0Z00000fxJeYQAU,ShareThis > Interest from Social Activity > Estee Lauder > Vertical > Face & Body Care,LiveRamp
1003161509,2018-05-02,Alex Walsh,Interpublic,UM NY,Estee Lauder_In Market Foundation_UM_Q2_2018_Segments,00k0Z00000fxJedQAE,ShareThis > Interest from Social Activity > Estee Lauder > Vertical > Skin Care,LiveRamp
1003161519,2018-05-02,Alex Walsh,Interpublic,UM NY,Estee Lauder_In Market Foundation_UM_Q2_2018_Segments,00k0Z00000fxJeiQAE,ShareThis > Interest from Social Activity > Estee Lauder > Vertical > Make Up & Cosmetics,LiveRamp
1003167769,2018-05-03,Meg Severance,,jet.com,Jet_BK Moms_Segments_2018,00k0Z00000fxJhdQAE,ShareThis > Interest from Social Activity > Jet > Custom > Brooklyn Mom,LiveRamp
1003167779,2018-05-03,Meg Severance,,jet.com,Moosejaw_Personas_Segments_2018,00k0Z00000fxJhTQAU,ShareThis > Interest from Social Activity > Moosejaw > Custom > Brad the Backpacker,LiveRamp
1003167799,2018-05-03,Meg Severance,,jet.com,Moosejaw_Personas_Segments_2018,00k0Z00000fxJhYQAU,ShareThis > Interest from Social Activity > Moosejaw > Custom > High end Hannah,LiveRamp
1003167789,2018-05-03,Meg Severance,,jet.com,Moosejaw_Personas_Segments_2018,00k0Z00000fxJhOQAU,ShareThis > Interest from Social Activity > Moosejaw > Custom > Cliff the Climber,LiveRamp
10024022,2018-03-27,Katie Kidd,,Eyeota,Sonymobile_EyeotaUK_Q2_2018_Segments,00k0Z00000fxJsuQAE,ShareThis > Interest from Social Activity > Sony Mobile > Custom > XZ1,Eyeota
10024026,2018-03-27,Katie Kidd,,Eyeota,Sonymobile_EyeotaUK_Q2_2018_Segments,00k0Z00000fxJspQAE,ShareThis > Interest from Social Activity > Sony Mobile > Custom > Mobile Generic,Eyeota
10024025,2018-03-27,Katie Kidd,,Eyeota,Sonymobile_EyeotaUK_Q2_2018_Segments,00k0Z00000fxJskQAE,ShareThis > Interest from Social Activity > Sony Mobile > Custom > XA2,Eyeota
