REPORT_DATE,PLATFORM_ID,PLATFORM,PARTNER_NAME,BUYER_NAME,SOURCE,ADVERTISER_NAME,PUBLISHER,AD_ACCOUNT_ID,CAMPAIGN_ID,CAMPAIGN_NAME,CAMPAIGN_START_DATE,CAMPAIGN_END_DATE,DEVICE,AD_FORMAT,COUNTRY_DATA,COUNTRY_USE,DATA_PROVIDER_ID,LIVERAMP_SEGMENT_ID,SEGMENT_NAME,GROSS_DATA_CPM,NET_CPM,IMPRESSIONS,CLICKS,GROSS_MEDIA_SPEND,TOTAL_DATA_REVENUE_EARNED,DATA_PROVIDER_REVENUE,LIVERAMP_REVENUE,DATA_USE,DATA_TYPE,DATA_PROVIDER,REV_SHARE_PREMIUM_BASIC,CONVERSIONS,ATTRIBUTABLE_REVENUE,AOFT,SOURCE_ID,UPLOAD_DATE
30-JUN-18,394608,Doubleclick,,Google DDP Reseller System Account,,,,,460669362,,2/19/17,1/18/38,,,USA,,,1001290179,ShareThis > Autos & Vehicles > Vehicle Brands > Bmw,,0.95,20,0,,0.02,0.02,0,,,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,394608,Doubleclick,,Google DDP Reseller System Account,,,,,457948480,,2/19/17,1/18/38,,,USA,,,1001290149,ShareThis > Autos & Vehicles > Hybrid & Alternative Vehicles,,0.95,23,0,,0.02,0.02,0,,,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,394608,Doubleclick,,Nexstar Media Group Inc - DFP,,,,,455175695,,12/7/17,1/18/38,,,USA,,,1001266799,ShareThis > Food and Drink > Food,,0.95,27,0,,0.02,0.02,0,,,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,394608,Doubleclick,,Google DDP Reseller System Account,,,,,445041136,,12/5/16,1/18/38,,,USA,,,1001142629,ShareThis_US  > Interest from Social Activity > New Year > Get Fit > 1,,1.1,15,0,,0.02,0.02,0,,,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,394608,Doubleclick,,Google DDP Reseller System Account,,,,,437688206,,11/1/16,1/18/38,,,USA,,,1001014479,ShareThis > People & Society > Subcultures & Niche Interests > Science Fiction & Fantasy,,0.95,20,0,,0.02,0.02,0,,,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,394608,Doubleclick,,Google DDP Reseller System Account,,,,,439923162,,11/1/16,1/18/38,,,USA,,,1001013319,ShareThis > Food & Drink > Food > Gourmet & Specialty Foods,,0.95,23,0,,0.02,0.02,0,,,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,394608,Doubleclick,,Economist 2 - DFP (XFP),,,,,439922892,,6/29/17,1/18/38,,,USA,,,1001013089,ShareThis > Finance > Banking,,0.95,22,1,,0.02,0.02,0,,,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,394608,Doubleclick,,Google DDP Reseller System Account,,,,,437686877,,11/1/16,1/18/38,,,USA,,,1001012779,ShareThis > Business & Industrial > Business Services > Outsourcing,,0.95,18,0,,0.02,0.02,0,,,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,394608,Doubleclick,,Economist 2 - DFP (XFP),,,,,437686895,,8/7/17,1/18/38,,,USA,,,1001012759,ShareThis > Business & Industrial > Business Operations > Management,,0.95,29,1,,0.02,0.02,0,,,SHARETHIS,,,,,,30-JUN-18
30-JUN-18,394608,Doubleclick,,Economist 2 - DFP (XFP),,,,,439922931,,9/19/17,1/18/38,,,USA,,,1001011119,ShareThis > Finance > Financial Planning & Management,,0.95,31,0,,0.02,0.02,0,,,SHARETHIS,,,,,,30-JUN-18
